event_id,create_time,close_time,duration,crash_count_900ft,crash_count_1800ft,roadway_type,number_total_lane,street_width,posted_speed,crash_count_2700ft,crash_count_3600ft,daylight_duration,nightlight_duration,day_of_week,peak_duration,peak_ratio,daylight_duration,nightlight_duration,daylight_ratio
24367,2018-06-06 23:16:00,2018-06-07 05:13:00,5.95,0,0,Highway,3,32.0,50,0,0,0.0,5.95,Wednesday,0.0,0.0,0.0,5.95,0.0
24368,2018-06-06 09:00:00,2018-06-06 12:53:00,3.8833333333333333,0,0,Street,3,30.0,25,0,0,3.8833333333333333,0.0,Wednesday,0.0,0.0,3.8833333333333333,0.0,1.0
24369,2018-06-06 08:17:00,2018-06-06 14:03:00,5.766666666666667,0,0,Highway,4,48.0,50,0,0,5.766666666666667,0.0,Wednesday,0.7,0.12138728323699421,5.766666666666667,0.0,1.0
24370,2018-06-06 04:02:00,2018-06-06 05:17:00,1.25,0,0,Street,3,48.0,25,0,0,0.0,1.25,Wednesday,0.0,0.0,0.0,1.25,0.0
24371,2018-06-05 22:38:00,2018-06-06 05:02:00,6.4,1,1,Street,2,42.0,25,1,2,0.0,6.4,Tuesday,0.0,0.0,0.0,6.4,0.0
24372,2018-06-05 09:52:00,2018-06-05 13:58:00,4.1,1,1,Bridge,3,34.0,30,2,2,4.1,0.0,Tuesday,0.0,0.0,4.1,0.0,1.0
24373,2018-06-05 09:32:00,2018-06-05 13:29:00,3.95,0,0,Street,3,30.0,25,0,0,3.95,0.0,Tuesday,0.0,0.0,3.95,0.0,1.0
24374,2018-06-05 09:10:00,2018-06-05 13:57:00,4.783333333333333,0,0,Highway,4,48.0,50,0,0,4.783333333333333,0.0,Tuesday,0.0,0.0,4.783333333333333,0.0,1.0
24375,2018-06-04 23:55:00,2018-06-05 03:55:00,4.0,0,0,Street,4,40.0,25,0,0,0.0,4.0,Monday,0.0,0.0,0.0,4.0,0.0
24376,2018-06-04 22:47:00,2018-06-05 04:33:00,5.766666666666667,0,0,Highway,3,30.0,45,0,0,0.0,5.766666666666667,Monday,0.0,0.0,0.0,5.766666666666667,0.0
24377,2018-06-04 22:26:00,2018-06-05 04:50:00,6.4,0,0,Street,2,40.0,25,1,1,0.0,6.4,Monday,0.0,0.0,0.0,6.4,0.0
24378,2018-06-04 09:40:00,2018-06-05 05:16:00,19.6,1,2,Highway,3,36.0,45,3,5,8.316666666666666,11.283333333333335,Monday,2.0,0.1020408163265306,8.316666666666666,11.283333333333335,0.4243197278911564
24379,2018-06-04 07:34:00,2018-06-04 14:04:00,6.5,0,0,Street,6,70.0,25,0,0,6.5,0.0,Monday,1.4166666666666667,0.21794871794871795,6.5,0.0,1.0
24381,2018-06-02 04:58:00,2018-06-02 13:39:00,8.683333333333334,0,0,Bridge,2,20.0,35,1,1,7.666666666666667,1.0166666666666666,Saturday,2.0,0.23032629558541265,7.666666666666667,1.0166666666666666,0.8829174664107485
24382,2018-06-02 00:58:00,2018-06-02 09:12:00,8.233333333333333,0,0,Highway,3,34.0,50,1,1,3.216666666666667,5.016666666666666,Saturday,2.0,0.24291497975708504,3.216666666666667,5.016666666666666,0.3906882591093118
24383,2018-06-01 21:05:00,2018-06-02 05:26:00,8.35,0,0,Street,4,42.0,25,0,0,0.0,8.35,Friday,0.0,0.0,0.0,8.35,0.0
24388,2018-06-01 08:09:00,2018-06-01 13:59:00,5.833333333333333,0,0,Highway,4,48.0,50,1,1,5.833333333333333,0.0,Friday,0.8333333333333334,0.14285714285714288,5.833333333333333,0.0,1.0
24389,2018-06-01 07:14:00,2018-06-01 14:00:00,6.766666666666667,2,5,Bridge,2,20.0,35,10,11,6.766666666666667,0.0,Friday,1.75,0.25862068965517243,6.766666666666667,0.0,1.0
24390,2018-06-01 00:34:00,2018-06-01 04:20:00,3.7666666666666666,0,0,Street,4,40.0,25,0,0,0.0,3.7666666666666666,Friday,0.0,0.0,0.0,3.7666666666666666,0.0
24391,2018-05-31 23:33:00,2018-06-01 05:05:00,5.533333333333333,0,0,Highway,3,30.0,45,0,0,0.0,5.533333333333333,Thursday,0.0,0.0,0.0,5.533333333333333,0.0
24392,2018-05-31 22:50:00,2018-06-01 04:08:00,5.3,1,1,Street,3,30.0,25,1,1,0.0,5.3,Thursday,0.0,0.0,0.0,5.3,0.0
24393,2018-05-31 10:36:00,2018-05-31 15:09:00,4.55,0,1,Street,3,30.0,25,1,1,4.55,0.0,Thursday,0.0,0.0,4.55,0.0,1.0
24394,2018-05-30 22:50:00,2018-05-31 04:01:00,5.183333333333334,1,1,Highway,3,30.0,45,2,2,0.0,5.183333333333334,Wednesday,0.0,0.0,0.0,5.183333333333334,0.0
24395,2018-05-30 22:14:00,2018-05-31 04:57:00,6.716666666666667,0,0,Highway,3,34.0,50,0,1,0.0,6.716666666666667,Wednesday,0.0,0.0,0.0,6.716666666666667,0.0
24396,2018-05-30 12:01:00,2018-05-30 15:12:00,3.183333333333333,0,0,Highway,3,44.0,50,0,0,3.183333333333333,0.0,Wednesday,0.0,0.0,3.183333333333333,0.0,1.0
24397,2018-05-30 11:00:00,2018-05-30 14:16:00,3.2666666666666666,1,2,Highway,2,34.0,45,2,2,3.2666666666666666,0.0,Wednesday,0.0,0.0,3.2666666666666666,0.0,1.0
24398,2018-05-30 08:56:00,2018-05-30 14:32:00,5.6,0,1,Street,6,70.0,25,1,1,5.6,0.0,Wednesday,0.05,0.00892857142857143,5.6,0.0,1.0
24399,2018-05-30 08:54:00,2018-05-30 14:22:00,5.466666666666667,0,1,Highway,4,48.0,50,1,1,5.466666666666667,0.0,Wednesday,0.08333333333333333,0.01524390243902439,5.466666666666667,0.0,1.0
24400,2018-05-30 00:51:00,2018-05-30 04:48:00,3.95,0,0,Highway,3,34.0,50,0,0,0.0,3.95,Wednesday,0.0,0.0,0.0,3.95,0.0
24401,2018-05-29 22:58:00,2018-05-30 04:19:00,5.35,0,0,Highway,4,48.0,45,0,0,0.0,5.35,Tuesday,0.0,0.0,0.0,5.35,0.0
24402,2018-05-29 22:05:00,2018-05-30 05:02:00,6.95,0,0,Highway,3,32.0,50,0,0,0.0,6.95,Tuesday,0.0,0.0,0.0,6.95,0.0
24403,2018-05-29 19:21:00,2018-05-30 06:10:00,10.816666666666666,0,0,Highway,3,32.0,50,0,1,0.18333333333333332,10.633333333333333,Tuesday,0.0,0.0,0.18333333333333332,10.633333333333333,0.01694915254237288
24404,2018-05-29 11:22:00,2018-05-29 15:03:00,3.683333333333333,1,1,Bridge,3,30.0,30,3,5,3.683333333333333,0.0,Tuesday,0.0,0.0,3.683333333333333,0.0,1.0
24405,2018-05-29 11:12:00,2018-05-29 14:08:00,2.933333333333333,1,2,Highway,4,48.0,50,3,3,2.933333333333333,0.0,Tuesday,0.0,0.0,2.933333333333333,0.0,1.0
24406,2018-05-29 09:38:00,2018-05-29 14:08:00,4.5,0,1,Highway,2,34.0,45,3,3,4.5,0.0,Tuesday,0.0,0.0,4.5,0.0,1.0
24409,2018-05-25 00:08:00,2018-05-25 04:05:00,3.95,0,1,Street,4,40.0,25,1,1,0.0,3.95,Friday,0.0,0.0,0.0,3.95,0.0
24410,2018-05-25 00:07:00,2018-05-25 05:11:00,5.066666666666666,0,0,Highway,3,34.0,50,0,0,0.0,5.066666666666666,Friday,0.0,0.0,0.0,5.066666666666666,0.0
24411,2018-05-24 23:31:00,2018-05-25 04:59:00,5.466666666666667,0,0,Highway,3,32.0,50,0,0,0.0,5.466666666666667,Thursday,0.0,0.0,0.0,5.466666666666667,0.0
24412,2018-05-24 23:13:00,2018-05-25 04:17:00,5.066666666666666,0,0,Highway,4,48.0,45,0,0,0.0,5.066666666666666,Thursday,0.0,0.0,0.0,5.066666666666666,0.0
24413,2018-05-24 20:19:00,2018-05-25 06:08:00,9.816666666666666,0,0,Tunnel,2,40.0,40,1,1,0.15,9.666666666666666,Thursday,0.0,0.0,0.15,9.666666666666666,0.015280135823429542
24415,2018-05-24 09:50:00,2018-05-24 14:47:00,4.95,0,1,Street,3,30.0,25,1,1,4.95,0.0,Thursday,0.0,0.0,4.95,0.0,1.0
24416,2018-05-24 09:21:00,2018-05-24 11:23:00,2.033333333333333,0,0,Highway,4,48.0,50,1,1,2.033333333333333,0.0,Thursday,0.0,0.0,2.033333333333333,0.0,1.0
24417,2018-05-24 09:00:00,2018-05-24 14:08:00,5.133333333333334,0,0,Street,6,70.0,25,1,1,5.133333333333334,0.0,Thursday,0.0,0.0,5.133333333333334,0.0,1.0
24418,2018-05-24 02:56:00,2018-05-24 05:15:00,2.316666666666667,0,0,Highway,3,34.0,50,0,0,0.0,2.316666666666667,Thursday,0.0,0.0,0.0,2.316666666666667,0.0
24419,2018-05-24 01:06:00,2018-05-24 04:06:00,3.0,0,0,Highway,3,30.0,45,0,0,0.0,3.0,Thursday,0.0,0.0,0.0,3.0,0.0
24420,2018-05-23 23:44:00,2018-05-24 03:56:00,4.2,0,0,Street,4,40.0,25,0,0,0.0,4.2,Wednesday,0.0,0.0,0.0,4.2,0.0
24421,2018-05-23 23:34:00,2018-05-24 04:14:00,4.666666666666667,0,0,Highway,4,48.0,45,0,0,0.0,4.666666666666667,Wednesday,0.0,0.0,0.0,4.666666666666667,0.0
24422,2018-05-23 21:24:00,2018-05-24 04:41:00,7.283333333333333,0,0,Highway,3,32.0,50,0,0,0.0,7.283333333333333,Wednesday,0.0,0.0,0.0,7.283333333333333,0.0
24423,2018-05-23 13:02:00,2018-05-23 14:16:00,1.2333333333333334,0,0,Highway,3,34.0,50,0,0,1.2333333333333334,0.0,Wednesday,0.0,0.0,1.2333333333333334,0.0,1.0
24426,2018-05-23 10:56:00,2018-05-23 15:04:00,4.133333333333334,0,0,Street,3,30.0,25,1,2,4.133333333333334,0.0,Wednesday,0.0,0.0,4.133333333333334,0.0,1.0
24427,2018-05-23 10:52:00,2018-05-23 12:26:00,1.5666666666666667,0,0,Highway,3,36.0,45,0,0,1.5666666666666667,0.0,Wednesday,0.0,0.0,1.5666666666666667,0.0,1.0
24428,2018-05-23 10:47:00,2018-05-23 12:26:00,1.65,0,0,Highway,3,36.0,45,0,1,1.65,0.0,Wednesday,0.0,0.0,1.65,0.0,1.0
24429,2018-05-23 10:45:00,2018-05-23 14:04:00,3.316666666666667,0,1,Highway,4,48.0,50,2,2,3.316666666666667,0.0,Wednesday,0.0,0.0,3.316666666666667,0.0,1.0
24430,2018-05-23 09:41:00,2018-05-23 12:05:00,2.4,0,0,Street,3,36.0,30,0,0,2.4,0.0,Wednesday,0.0,0.0,2.4,0.0,1.0
24432,2018-05-22 23:56:00,2018-05-23 05:01:00,5.083333333333333,1,2,Highway,3,34.0,50,2,2,0.0,5.083333333333333,Tuesday,0.0,0.0,0.0,5.083333333333333,0.0
24433,2018-05-22 23:32:00,2018-05-23 02:56:00,3.4,0,0,Street,4,40.0,25,1,1,0.0,3.4,Tuesday,0.0,0.0,0.0,3.4,0.0
24434,2018-05-22 15:07:00,2018-05-23 14:16:00,23.15,2,5,Highway,3,34.0,50,8,9,11.15,11.999999999999998,Tuesday,4.0,0.17278617710583155,11.15,11.999999999999998,0.48164146868250546
24436,2018-05-22 10:22:00,2018-05-22 13:41:00,3.316666666666667,0,0,Highway,3,36.0,45,0,0,3.316666666666667,0.0,Tuesday,0.0,0.0,3.316666666666667,0.0,1.0
