hour,id,count
15,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
16,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
17,7cf3f3f864418f0bf8f22338fa59b0a5,1.0
18,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
19,7cf3f3f864418f0bf8f22338fa59b0a5,1.0
20,7cf3f3f864418f0bf8f22338fa59b0a5,2.0
21,7cf3f3f864418f0bf8f22338fa59b0a5,1.0
22,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
23,7cf3f3f864418f0bf8f22338fa59b0a5,0.0
0,7cfa8398c4c2b8d64ced5f8c547f9ff8,4.0
1,7cfa8398c4c2b8d64ced5f8c547f9ff8,3.0
2,7cfa8398c4c2b8d64ced5f8c547f9ff8,0.0
3,7cfa8398c4c2b8d64ced5f8c547f9ff8,0.0
4,7cfa8398c4c2b8d64ced5f8c547f9ff8,0.0
5,7cfa8398c4c2b8d64ced5f8c547f9ff8,0.0
6,7cfa8398c4c2b8d64ced5f8c547f9ff8,3.0
7,7cfa8398c4c2b8d64ced5f8c547f9ff8,3.0
8,7cfa8398c4c2b8d64ced5f8c547f9ff8,5.0
9,7cfa8398c4c2b8d64ced5f8c547f9ff8,4.0
10,7cfa8398c4c2b8d64ced5f8c547f9ff8,1.0
11,7cfa8398c4c2b8d64ced5f8c547f9ff8,1.0
12,7cfa8398c4c2b8d64ced5f8c547f9ff8,0.0
13,7cfa8398c4c2b8d64ced5f8c547f9ff8,3.0
14,7cfa8398c4c2b8d64ced5f8c547f9ff8,5.0
15,7cfa8398c4c2b8d64ced5f8c547f9ff8,8.0
16,7cfa8398c4c2b8d64ced5f8c547f9ff8,8.0
17,7cfa8398c4c2b8d64ced5f8c547f9ff8,9.0
18,7cfa8398c4c2b8d64ced5f8c547f9ff8,3.0
19,7cfa8398c4c2b8d64ced5f8c547f9ff8,3.0
20,7cfa8398c4c2b8d64ced5f8c547f9ff8,2.0
21,7cfa8398c4c2b8d64ced5f8c547f9ff8,0.0
22,7cfa8398c4c2b8d64ced5f8c547f9ff8,1.0
23,7cfa8398c4c2b8d64ced5f8c547f9ff8,4.0
0,7d0a8e3f10bcb000853673e4b258a4eb,2.0
1,7d0a8e3f10bcb000853673e4b258a4eb,0.0
2,7d0a8e3f10bcb000853673e4b258a4eb,0.0
3,7d0a8e3f10bcb000853673e4b258a4eb,0.0
4,7d0a8e3f10bcb000853673e4b258a4eb,0.0
5,7d0a8e3f10bcb000853673e4b258a4eb,0.0
6,7d0a8e3f10bcb000853673e4b258a4eb,2.0
7,7d0a8e3f10bcb000853673e4b258a4eb,0.0
8,7d0a8e3f10bcb000853673e4b258a4eb,0.0
9,7d0a8e3f10bcb000853673e4b258a4eb,1.0
10,7d0a8e3f10bcb000853673e4b258a4eb,2.0
11,7d0a8e3f10bcb000853673e4b258a4eb,2.0
12,7d0a8e3f10bcb000853673e4b258a4eb,0.0
13,7d0a8e3f10bcb000853673e4b258a4eb,1.0
14,7d0a8e3f10bcb000853673e4b258a4eb,2.0
15,7d0a8e3f10bcb000853673e4b258a4eb,1.0
16,7d0a8e3f10bcb000853673e4b258a4eb,1.0
17,7d0a8e3f10bcb000853673e4b258a4eb,2.0
18,7d0a8e3f10bcb000853673e4b258a4eb,0.0
19,7d0a8e3f10bcb000853673e4b258a4eb,0.0
20,7d0a8e3f10bcb000853673e4b258a4eb,1.0
21,7d0a8e3f10bcb000853673e4b258a4eb,1.0
22,7d0a8e3f10bcb000853673e4b258a4eb,0.0
23,7d0a8e3f10bcb000853673e4b258a4eb,1.0
0,7d155cf3201b5f85b60d362c802b644c,0.0
1,7d155cf3201b5f85b60d362c802b644c,0.0
2,7d155cf3201b5f85b60d362c802b644c,1.0
3,7d155cf3201b5f85b60d362c802b644c,1.0
4,7d155cf3201b5f85b60d362c802b644c,0.0
5,7d155cf3201b5f85b60d362c802b644c,0.0
6,7d155cf3201b5f85b60d362c802b644c,1.0
7,7d155cf3201b5f85b60d362c802b644c,0.0
8,7d155cf3201b5f85b60d362c802b644c,2.0
9,7d155cf3201b5f85b60d362c802b644c,4.0
10,7d155cf3201b5f85b60d362c802b644c,0.0
11,7d155cf3201b5f85b60d362c802b644c,0.0
12,7d155cf3201b5f85b60d362c802b644c,2.0
13,7d155cf3201b5f85b60d362c802b644c,1.0
14,7d155cf3201b5f85b60d362c802b644c,3.0
15,7d155cf3201b5f85b60d362c802b644c,1.0
16,7d155cf3201b5f85b60d362c802b644c,2.0
17,7d155cf3201b5f85b60d362c802b644c,0.0
18,7d155cf3201b5f85b60d362c802b644c,4.0
19,7d155cf3201b5f85b60d362c802b644c,1.0
20,7d155cf3201b5f85b60d362c802b644c,2.0
21,7d155cf3201b5f85b60d362c802b644c,2.0
22,7d155cf3201b5f85b60d362c802b644c,0.0
23,7d155cf3201b5f85b60d362c802b644c,1.0
0,7d43de901ff1f56c944b98b5409c2098,1.0
1,7d43de901ff1f56c944b98b5409c2098,0.0
2,7d43de901ff1f56c944b98b5409c2098,3.0
3,7d43de901ff1f56c944b98b5409c2098,0.0
4,7d43de901ff1f56c944b98b5409c2098,1.0
5,7d43de901ff1f56c944b98b5409c2098,0.0
6,7d43de901ff1f56c944b98b5409c2098,2.0
7,7d43de901ff1f56c944b98b5409c2098,0.0
8,7d43de901ff1f56c944b98b5409c2098,1.0
9,7d43de901ff1f56c944b98b5409c2098,3.0
10,7d43de901ff1f56c944b98b5409c2098,1.0
11,7d43de901ff1f56c944b98b5409c2098,3.0
12,7d43de901ff1f56c944b98b5409c2098,1.0
13,7d43de901ff1f56c944b98b5409c2098,4.0
14,7d43de901ff1f56c944b98b5409c2098,2.0
15,7d43de901ff1f56c944b98b5409c2098,1.0
16,7d43de901ff1f56c944b98b5409c2098,1.0
17,7d43de901ff1f56c944b98b5409c2098,1.0
18,7d43de901ff1f56c944b98b5409c2098,0.0
19,7d43de901ff1f56c944b98b5409c2098,1.0
20,7d43de901ff1f56c944b98b5409c2098,1.0
21,7d43de901ff1f56c944b98b5409c2098,0.0
22,7d43de901ff1f56c944b98b5409c2098,0.0
23,7d43de901ff1f56c944b98b5409c2098,3.0
0,7d56f158e0225925df1c4c7127443b29,1.0
1,7d56f158e0225925df1c4c7127443b29,1.0
2,7d56f158e0225925df1c4c7127443b29,0.0
3,7d56f158e0225925df1c4c7127443b29,0.0
4,7d56f158e0225925df1c4c7127443b29,0.0
5,7d56f158e0225925df1c4c7127443b29,0.0
6,7d56f158e0225925df1c4c7127443b29,0.0
7,7d56f158e0225925df1c4c7127443b29,1.0
8,7d56f158e0225925df1c4c7127443b29,1.0
9,7d56f158e0225925df1c4c7127443b29,1.0
10,7d56f158e0225925df1c4c7127443b29,0.0
11,7d56f158e0225925df1c4c7127443b29,0.0
12,7d56f158e0225925df1c4c7127443b29,1.0
