wz_id,segmentid,created_date,closed_date,created_season,closed_season,duration_days,purpose,geometry,length_ft,bounding_geometry,bounding_area
280_0,[91172 91048 91044],2017-05-22,2017-06-19,spring,summer,28,"[""['Dot In-House Milling', 'Dot In-House Paving']""]","MULTILINESTRING ((1031141.2256434 214660.6112777697, 1031682.493070373 214999.8368734596), (1030956.192547995 214545.1650749964, 1031141.2256434 214660.6112777697), (1030489.439778117 214264.777935853, 1030956.192547995 214545.1650749964))",1401.3730056429993,"POLYGON ((1030492.649245611 214259.5687402841, 1031685.702537867 214994.6276778908, 1031682.493070373 214999.8368734597, 1030489.439778117 214264.777935853, 1030492.649245611 214259.5687402841))",8573.995690224423
2810_0,[76999],2019-03-11,2019-06-09,winter,summer,90,"[""['Dep Contractor Major Installation Sewer']""]","MULTILINESTRING ((1012950.340830517 223348.1685850915, 1012304.240842492 222651.6873887602))",950.0164479463913,"LINESTRING (1012950.340830517 223348.1685850915, 1012304.240842492 222651.6873887602)",0.0
2811_0,[79732],2019-03-12,2019-03-14,winter,winter,2,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1011568.572523278 250602.0804921545, 1011842.378750727 250535.7008340342))",281.7376602485532,"LINESTRING (1011568.572523278 250602.0804921545, 1011842.378750727 250535.7008340342)",0.0
2812_0,[107728],2019-03-12,2019-05-30,winter,spring,79,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((983379.6676029915 205769.3362721757, 983079.3204682724 205646.44991152))",324.51418916453764,"LINESTRING (983379.6676029915 205769.3362721757, 983079.3204682724 205646.44991152)",0.0
2813_0,[110920],2019-03-12,2019-06-10,winter,summer,90,"[""['Major Installation - Gas', 'Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((982684.6100442038 205801.9201267507, 982625.150684535 205818.5451399399))",61.739829249518635,"LINESTRING (982684.6100442038 205801.9201267507, 982625.150684535 205818.5451399399)",0.0
2814_0,[173031 173033 173032],2019-03-12,2019-09-08,winter,summer,180,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1000105.814461694 234958.7493478523, 1000090.21399688 234967.27275857), (999343.8378016942 235379.3116608846, 999317.3154934442 235389.5607252521), (1000090.21399688 234967.27275857, 999343.8378016942 235379.3116608846))",898.7677773019652,"POLYGON ((1000107.599215602 234962.0159188492, 999319.1003329189 235392.8274528592, 999317.3154934442 235389.5607252521, 1000105.814376127 234958.7491912421, 1000107.599215602 234962.0159188492))",3344.740500301724
2815_0,[63033],2019-03-13,2019-03-15,winter,winter,2,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1052556.113612827 180447.2727111801, 1052230.323338033 179775.9730275586))",746.178643744842,"LINESTRING (1052556.113612827 180447.2727111801, 1052230.323338033 179775.9730275586)",0.0
2816_0,[38622],2019-03-13,2019-03-16,winter,winter,3,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((997101.3043779759 234195.019493278, 996716.1855862034 234408.9932631663))",440.5692431122522,"LINESTRING (997101.3043779759 234195.019493278, 996716.1855862034 234408.9932631663)",0.0
2817_0,[61894 61896],2019-03-13,2019-03-21,winter,winter,8,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1054435.931066814 159739.4592870911, 1054426.639509178 159817.7827280729), (1054426.639509178 159817.7827280729, 1054377.872840902 160498.2247267668))",761.0599391500183,"POLYGON ((1054374.59353404 160497.9738050344, 1054432.651759952 159739.2083653586, 1054435.931066815 159739.4592870912, 1054377.872840903 160498.2247267669, 1054374.59353404 160497.9738050344))",2502.7927843447137
2818_0,[72997],2019-03-13,2019-03-28,winter,winter,15,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((1008643.366437217 253242.5490640259, 1008872.106824444 253464.697484259))",318.8606049061333,"LINESTRING (1008643.366437217 253242.5490640259, 1008872.106824444 253464.697484259)",0.0
