node_id,roadway_type,street_width,posted_speed,number_total,number_travel,number_park
00f68c7ac54f1e5cecffea5e6994646a,Street,58.0,25,6,2,2
00f72a5b284603353b8c62ef730e984a,Street,28.0,20,3,1,2
00f823edf00dad3a9fbf26ec4521d460,Street,30.0,25,3,2,1
00f88950b6844332119a63d1b5272e71,Street,24.0,25,3,1,2
00fa8f2668a23363911888a43ee5eefd,Street,30.0,25,4,2,2
00fd5298567b939ec2238b6d4e563808,Street,32.0,25,3,1,1
00fd84819c98f3cc7de33692962437af,Street,30.0,25,3,1,2
00fe3c9118f6d0259b5a99d30f909e79,Street,30.0,25,3,2,1
00ff363f15780e6c477676c3a4320c64,Street,38.0,25,3,2,2
00ffe35a75fdaa388f1a7a392c2d90bd,Street,30.0,25,3,1,2
0100d2da842f64d5cd8246182ccdb41a,Street,32.0,30,3,2,1
01025b6341e2e1b25c3b2241e0310f19,Street,30.0,25,2,1,1
0102b5c10f7ec2568f37c30ef8efa843,Street,10.0,25,4,4,-1
010342e34e8331f7e1b492480aefa496,Street,45.0,25,4,2,2
01040eec192f2e91d3efc4e139b05009,Street,30.0,25,4,2,2
010468246482a54f3413c6ead5361806,Street,32.0,25,3,3,-1
0104948f7d8baf399594024ea4f49258,Street,30.0,25,2,2,-1
0105cb0bf4b12e06e5b289b22c54df33,Street,46.0,25,4,-1,-1
0105f519835efec584e53f8806f73b6b,Street,60.0,25,6,4,2
01073f838adbf62524f5f6bf4abb9626,Street,24.0,20,2,1,1
010820f508653b621988d0da701a7753,Street,46.0,25,4,2,2
010875b8314c0143d45af9bb3e03b58d,Street,36.0,25,-1,-1,-1
010876b5e1bdfa06b774b6f2c01675e0,Street,30.0,25,3,1,-1
010b8bbfbc73ab2eab77ec3e70832fed,Street,50.0,25,4,1,2
010d795347e26ce53ee71d718ff4f73e,Street,70.0,25,3,1,2
010f47a72f6b1ea4e7f01363a83996ed,Street,44.0,25,3,1,2
01114b62590518c203947c261aca0c05,Street,40.0,25,4,2,2
0111ddc71c8752a95fc904bdd2a4737e,Street,26.0,25,2,1,1
011309ddc52a323e70768b5e7551bb4a,Street,20.0,25,3,1,-1
011785af0c860be105c7ee2baf0bec47,Street,50.0,25,4,2,2
0117ad6c8a85b57b54c5d4c8579429b2,Street,30.0,25,3,1,2
0118dc19703ba97ab21c19c5279349b9,Street,50.0,25,4,2,2
011978e86f81344be959e71710fa7163,Street,48.0,25,4,2,2
011a1a751fa83e90c1c46bedf547817d,Street,32.0,25,3,1,2
011cf8f99b1b01edd317acce4418271d,Street,30.0,25,3,1,2
011e1462e65190f31d327da8d5a220a0,Street,35.0,25,3,1,2
011f163dfe5f617f801de6f755229321,Street,30.0,25,3,2,1
011f9423796acc10404bf2d45a60510b,Street,30.0,-1,3,1,2
01209718027a0bad162645374123846c,Street,60.0,25,2,4,-1
0121ba5cb3ea144ae47b00e4d5e687d3,Street,28.0,25,3,1,2
0122c85b5fab9517a165690b697f04d9,Street,30.0,25,3,1,2
0124df415a961278242472a5a46f550b,Street,30.0,25,3,1,2
0126f0f777e4beaf81342b52049f17c0,Street,34.0,30,3,2,1
012713dc5ad5b5fc08cbfe2dc3f0e66f,Street,60.0,25,3,1,2
01281807df66ceb96b0d0beda91422d1,Street,58.0,20,4,2,2
01282e3e2ecf700e4c95146782c79048,Unknown,-1.0,-1,-1,-1,-1
012a74bb75a3a0b2042cd0d5c13103ba,Street,30.0,25,3,1,2
012a74eae316d56a432c9184a3b1a20c,Street,30.0,25,3,1,2
012b469eeae2a53e0f1793121934865f,Street,60.0,25,4,2,2
012dd968e1020b4599e71e2b84dfb7cc,Street,34.0,25,3,1,2
012e8ac2abc585e23a1e331ebc4e8e18,Street,36.0,25,3,1,2
012efb60e952d357564bce21cd8c9257,Street,52.0,20,4,2,2
012f77e0f767d195a035313b2bddd58a,Street,30.0,25,2,2,2
01304bdb8f3b2e0daa1f1db6d3059b04,Street,42.0,25,4,2,2
01311fbf74fc3f2e47d89536e6fc5ea8,Street,30.0,25,3,1,2
0131aa9f88004e4b3914b0c5bc29ea4b,Street,38.0,25,3,1,2
01327afd99b01f5d0f482d98b68e2aed,Street,30.0,25,3,1,2
01331f09d4a9111f24723c12f2610c44,Unknown,-1.0,-1,-1,-1,-1
01334b83c1e9365e7a3a5a062aefe251,Street,32.0,25,3,1,2
0134a6a627f2cb8633dff3ee41db2344,Street,30.0,25,3,1,2
0135d62303424f72cfb29834292cf9a8,Street,40.0,25,4,3,-1
0136fa53010b2bee596ee37b09e345bf,Street,45.0,25,3,1,2
0137d974404b74c86e24fae44d470ca8,Street,24.0,25,3,1,2
0138427ff7796753b875babba62abad7,Street,56.0,25,3,1,2
013ae7bdf08665ac4faa09cc498d1230,Street,26.0,25,1,1,-1
013b6967ffe18129e8cbd9a117c19ffe,Street,62.0,25,6,4,2
013d838e2f7c1e98f7bc343c883f9eb1,Street,24.0,25,1,1,-1
01402627ea9c18225ac8bbfb53cbf00b,Street,30.0,25,3,2,1
0140dfbaec1fe202606eb8ac93731534,Street,46.0,25,2,2,-1
014107995269412501ed0a35d83bf8e6,Street,30.0,25,3,1,1
01427fe2cd0c085ef1f642142dbd2850,Street,30.0,25,3,1,2
0143e03af556427578834112a1d562af,Unknown,-1.0,-1,-1,-1,-1
01449141e8ce96769510f08c222eb0ec,Street,38.0,25,3,1,2
0146d63f12ef422b8f31e751d8c8285f,Street,30.0,25,3,1,2
0149e21a1c3fc7cbc754244935df8846,Street,30.0,25,3,1,1
014abad46b3e48000b9d8086c74134b6,Street,30.0,25,6,1,2
014b1827964544ef0e813b2e35206627,Street,42.0,20,3,1,2
014e63405d141b983724447131418053,Street,30.0,25,3,1,2
014ebbac2721d20bd0c2254dbe3137f3,Street,60.0,25,5,1,2
014edd9d2bc01f5537174c80b64a1484,Street,30.0,25,3,3,-1
0150561d3be07691c24695eea7adbc96,Street,70.0,25,6,4,2
015289e65af31e2df0e62a8402ec21fb,Street,32.0,25,3,1,2
0153ded7c46084e39110346997f43c75,Street,48.0,25,3,2,2
015475a0ca7558c0d118bbb56c3042b9,Street,30.0,25,3,1,2
01568f868450e659b6433dcfbe266024,Street,30.0,25,3,1,2
0158298c67200695e71055b653416aee,Street,18.0,25,1,1,-1
01595f2bfeaeebe29b6c47d47c0457b9,Street,30.0,25,3,1,2
0159b8d12ca86d5a9e6e1eb3491ba909,Street,16.0,25,1,1,-1
015a36e8fd1be7904bb634b58c0d9cc0,Street,36.0,25,4,2,2
015db242c5f49d7d112a91dd40f29c0d,Street,50.0,25,3,1,2
015de67da1205b4309dff653a3cce529,Street,34.0,25,3,1,2
0161af48525a5b4041445b677a721a6b,Street,36.0,25,3,1,2
01634a2d2e8cfbc5743f87bd07ea9ecf,Street,20.0,25,4,1,-1
0164d55239e56243de12f31044b73630,Street,46.0,25,4,2,2
016515e5f8b010caf0cb1a1b8065fe17,Street,28.0,25,3,1,2
0169b9f9ec9a01303c4d112ee6689089,Street,45.0,25,3,3,-1
016a434a40fd5053598cc39141994dce,Street,40.0,25,4,2,2
016c2d110f96e653d8efd1387dfb981c,Street,30.0,25,3,1,2
016cf054e0f06a8894bdc7704aeac79c,Street,30.0,25,3,1,2
016e4f9296c38e065099f993128762c8,Street,36.0,25,4,2,2
016f274ae6c2fdf341245857508fe16b,Street,28.0,25,3,1,2
01712499e05c05beef77930d5fde3bb5,Street,70.0,25,6,4,2
0173928b2e635142061607734e202744,Street,44.0,25,3,1,2
0173d14b65c6f5f190dc592f0c6fb2a1,Street,30.0,25,3,1,2
0174454652d80ab0b30cbce67ca2f117,Street,30.0,25,3,1,2
01759db0556325e22c5a4463c4cbe0e3,Street,30.0,-1,3,1,2
017612602fba6b7d14bac551a98ecaa3,Street,40.0,25,4,2,2
0176730eb22abba75e00e7a3ad41fd5c,Street,32.0,25,3,1,2
0177ce571e05a3deeacb3b0442e858dd,Street,26.0,25,2,1,1
01784a8758f423d76e907b2c2f7d2327,Highway,24.0,50,1,1,-1
017996d2ff3cb4b7b5c22524487184ac,Street,30.0,30,3,2,1
0179a01dbad755f414853dc24989fc96,Street,30.0,30,3,2,1
0179d563b8f5417420c23b444a31e879,Street,74.0,25,3,4,1
017a00251460b4a0f9c400917d61e6c2,Street,34.0,35,3,3,-1
017e016df9de4b3121a035ee2da56c85,Street,30.0,25,3,1,2
017f0aefb10aa58c4fbf261251508723,Street,70.0,25,6,4,2
017f33f0900d26a665901164102a3537,Street,30.0,25,3,3,-1
0180b640b48228582988a11659ad3537,Street,70.0,25,7,5,-1
0182b2423c17e79ede8a4bdee358a667,Street,26.0,25,2,2,-1
01842f5371dca44e536ce06d494c13a9,Street,30.0,25,3,1,2
0186b494360231ed8c16dc335cc80bbf,Street,75.0,25,6,4,2
0186c2693d2c3c880a244503d79f8301,Street,42.0,25,3,1,2
018935393d2093315fb676281c94a331,Street,30.0,25,3,1,2
01897df8fed17ad549ebe9190ec3e48b,Street,40.0,25,4,4,-1
01898cfa3788e404060365ea811f8763,Street,30.0,25,3,1,2
018aa61a0ec41a7b2d1b8a5f7a0d785b,Street,30.0,25,3,1,2
018afd1de7d1a5b7f390623df4ce3d31,Street,34.0,25,3,1,2
018c05e76c35d98bda495cb8a4070d2d,Street,30.0,25,3,1,2
018c7a7d06ce3a341efd0afb598cddc9,Street,40.0,25,4,2,2
018ccb613bdd4cbec0c2d424404e6ca0,Street,32.0,25,3,1,2
0191dc3e8908f138fbd4fbeb566ae8bd,Street,34.0,25,3,1,2
019208b403c118146899408d9f567267,Street,60.0,25,3,1,2
0192906478fe08dfdbbbd003f3624ff2,Street,30.0,25,3,1,2
01950d5458af55b65c72f0facd359d43,Street,30.0,25,3,1,2
019533e1980c1d613c0255dbfcda68b5,Street,50.0,25,3,1,2
01961f2860dd463569599de4862422cb,Street,34.0,25,3,1,2
019702c12f44fc4fc1c43778565de46d,Street,40.0,30,3,2,1
019757898b1dfbd5ebc9085f170e1abc,Street,48.0,25,2,4,1
01979c43732b2ef69aa5a24da775541b,Street,34.0,25,3,1,-1
01996554c929438389534a9ec3dfae82,Street,30.0,25,3,1,2
019b01b9b0e0e2fdc2f7878c48f1dcaf,Street,44.0,25,3,2,1
019b884234a37824c2999d20f53d0ca6,Street,30.0,25,3,1,2
019fb4e67c559c7ad529ba2c256f6762,Street,30.0,25,3,1,2
01a0c001c5df32c30fc84df431816c1e,Street,30.0,25,4,1,2
01a302c4e3d3738a62f9d8868713c3e1,Street,30.0,25,3,2,1
01a3182c69cd4af457727affba8564ac,Street,30.0,25,3,1,2
01a3495300ac2b6e263f5f83e326884f,Street,34.0,25,6,1,2
01a3f7c504e4e1e0de97a153547da4fd,Street,32.0,30,3,2,1
01a4d594e72c2040a953effec820281d,Street,40.0,25,3,1,2
01a7ea729606c3d5413bc9d8a4772e76,Street,28.0,25,3,1,2
01a8a882c53e070181d66326264b23b4,Highway,30.0,45,3,3,-1
01aa776abb736e6ea5f025c5f94de827,Street,30.0,25,-1,-1,-1
01aa78d7543200f1cd447ecc2f8372a3,Street,40.0,25,3,1,2
01aa81987707be892a0996269ad213e8,Unknown,-1.0,-1,-1,-1,-1
01abe775c74705a1160dd69a915dd2d6,Street,44.0,25,3,1,-1
01ad291016bacf6324ad6245c4b3c960,Street,30.0,25,3,1,2
01aff4f4bb808ac56b1432d5fedae0f7,Street,30.0,30,3,2,1
01b391aab72e3d005980900924744253,Street,44.0,25,3,2,-1
01b4d1ef621dc7c90ebfac6fe3bcff71,Street,60.0,25,3,1,2
01b5420c64c52e7a3a6a47efca1d2075,Street,30.0,-1,3,1,2
01b63e547462b2ea2d749f12deb75a98,Street,50.0,25,3,1,2
01b6ae0295f4b0c9d51c84bc5a53275f,Street,30.0,25,3,1,2
01b7cddf44e65b935dbc433ca0f0042c,Street,60.0,25,4,4,-1
01b83263fb923d1670a78703e11c9796,Street,30.0,-1,3,1,2
01b8584c6415adf83670a0eca3eef09f,Street,32.0,25,3,1,2
01b8c350b0b4429dfe54177cc5381b74,Street,30.0,25,3,1,2
01b97e31a3695c0af17cb62cf8509f50,Street,30.0,25,2,1,1
01b9ea3151403a93968784431403e65f,Street,30.0,-1,3,1,2
01bc123a3ccf3b0a8da3d9956a558d62,Street,30.0,25,3,2,1
01bd13ce10915711fc6d2e530c4aa75d,Street,30.0,25,3,1,2
01be4e080b08ba89ce720de239133ab5,Street,30.0,25,3,1,2
